ticket;classe;tipo_provento;valor_recebido;data_pgto;mes;ano;status
BODB11;FII-Infra;Dividendos;R$ 16,00;08/01/2024;1;2024;PAGO
HSML11;FII;Dividendos;R$ 7,60;08/01/2024;1;2024;PAGO
KNCR11;FII;Dividendos;R$ 12,12;12/01/2024;1;2024;PAGO
VINO11;FII;Dividendos;R$ 2,90;12/01/2024;1;2024;PAGO
MXRF11;FII;Dividendos;R$ 18,29;15/01/2024;1;2024;PAGO
KNRI11;FII;Dividendos;R$ 7,00;15/01/2024;1;2024;PAGO
MALL11;FII;Dividendos;R$ 4,00;15/01/2024;1;2024;PAGO
TVRI11;FII;Dividendos;R$ 4,55;15/01/2024;1;2024;PAGO
JSRE11;FII;Dividendos;R$ 4,60;15/01/2024;1;2024;PAGO
JURO11;FII-Infra;Dividendos;R$ 13,50;15/01/2024;1;2024;PAGO
HGLG11;FII;Dividendos;R$ 11,00;15/01/2024;1;2024;PAGO
XPLG11;FII;Dividendos;R$ 8,58;15/01/2024;1;2024;PAGO
BRCR11;FII;Dividendos;R$ 4,10;15/01/2024;1;2024;PAGO
RECT11;FII;Dividendos;R$ 2,00;15/01/2024;1;2024;PAGO
VSLH11;FII;Dividendos;R$ 2,04;15/01/2024;1;2024;PAGO
RECR11;FII;Dividendos;R$ 6,07;15/01/2024;1;2024;PAGO
TAEE11;Ação;Dividendos;R$ 13,23;16/01/2024;1;2024;PAGO
IRDM11;FII;Dividendos;R$ 8,40;17/01/2024;1;2024;PAGO
VGIR11;FII;Dividendos;R$ 6,16;18/01/2024;1;2024;PAGO
BDIF11;FII-Infra;Dividendos;R$ 5,00;22/01/2024;1;2024;PAGO
BTLG11;FII;Dividendos;R$ 8,10;25/01/2024;1;2024;PAGO
XPML11;FII;Dividendos;R$ 5,52;25/01/2024;1;2024;PAGO
ALZR11;FII;Dividendos;R$ 5,58;25/01/2024;1;2024;PAGO
KLBN11;Ação;JCP;R$ 3,95;26/02/2024;2;2024;PAGO
VBBR3;Ação;JCP;R$ 5,09;29/02/2024;2;2024;PAGO
SANB4;Ação;JCP;R$ 5,38;08/02/2024;2;2024;PAGO
HSML11;FII;Dividendos;R$ 7,60;07/02/2024;2;2024;PAGO
BODB11;FII-Infra;Dividendos;R$ 16,60;07/02/2024;2;2024;PAGO
KDIF11;FII-Infra;Dividendos;R$ 8,80;07/02/2024;2;2024;PAGO
KNCR11;FII;Dividendos;R$ 12,84;15/02/2024;2;2024;PAGO
MXRF11;FII;Dividendos;R$ 18,30;16/02/2024;2;2024;PAGO
JURO11;FII-Infra;Dividendos;R$ 9,00;16/02/2024;2;2024;PAGO
HGLG11;FII;Dividendos;R$ 11,00;16/02/2024;2;2024;PAGO
MALL11;FII;Dividendos;R$ 4,60;16/02/2024;2;2024;PAGO
JSRE11;FII;Dividendos;R$ 4,60;16/02/2024;2;2024;PAGO
TVRI11;FII;Dividendos;R$ 4,85;16/02/2024;2;2024;PAGO
XPLG11;FII;Dividendos;R$ 8,58;16/02/2024;2;2024;PAGO
VINO11;FII;Dividendos;R$ 2,75;16/02/2024;2;2024;PAGO
KNRI11;FII;Dividendos;R$ 7,00;16/02/2024;2;2024;PAGO
RECT11;FII;Dividendos;R$ 2,00;16/02/2024;2;2024;PAGO
RECR11;FII;Dividendos;R$ 6,48;16/02/2024;2;2024;PAGO
VSLH11;FII;Dividendos;R$ 2,08;16/02/2024;2;2024;PAGO
BRCR11;FII;Dividendos;R$ 4,10;16/02/2024;2;2024;PAGO
IRDM11;FII;Dividendos;R$ 9,00;20/02/2024;2;2024;PAGO
BBSE3;Ação;Dividendos;R$ 62,09;22/02/2024;2;2024;PAGO
BBSE3;Ação;JCP;R$ 0,76;22/02/2024;2;2024;PAGO
VGIR11;FII;Dividendos;R$ 9,46;21/02/2024;2;2024;PAGO
BTLG11;FII;Dividendos;R$ 7,80;23/02/2024;2;2024;PAGO
BDIF11;FII-Infra;Dividendos;R$ 6,00;23/02/2024;2;2024;PAGO
ALZR11;FII;Dividendos;R$ 5,58;23/02/2024;2;2024;PAGO
XPML11;FII;Dividendos;R$ 5,63;24/02/2024;2;2024;PAGO
KLBN11;Ação;JCP;R$ 7,00;12/03/2025;3;2025;PAGO
KLBN11;Ação;Dividendos;R$ 5,21;26/02/2024;2;2024;PAGO
ITSA4;Ação;JCP;R$ 8,70;08/03/2024;3;2024;PAGO
BBAS3;Ação;JCP;R$ 0,52;29/02/2024;2;2024;PAGO
BBAS3;Ação;Dividendos;R$ 0,23;29/02/2024;2;2024;PAGO
KDIF11;FII-Infra;Dividendos;R$ 10,80;07/03/2024;3;2024;PAGO
BODB11;FII-Infra;Dividendos;R$ 17,10;07/03/2024;3;2024;PAGO
HSML11;FII;Dividendos;R$ 8,00;07/03/2024;3;2024;PAGO
